id,brand_primary,lex_label,lex_score,text_clean_base
11153,,neg,-0.975,"hola, envía un reclamo a la empresa: tendrá 15 días hábiles para responder, si no estás de acuerdo con la respuesta, regístrate y presenta tu demanda: conoce más sobre el proceso: feliz día. hola, envía un reclamo a la empresa: tendrá 15 días hábiles para responder, si no estás de acuerdo con la respuesta, regístrate y presenta tu demanda: conoce más sobre el proceso: feliz día."
3959,,neg,-0.9,cosas tan simples como actualizar datos y dicen que responden la solicitud en 15 días? muy mal en tecnología cosas tan simples como actualizar datos y dicen que responden la solicitud en 15 días? muy mal en tecnología
13902,mapfre,neg,-0.584,"galería de tocando ligeramente la tierra: cómo liberar el plano del suelo configura la atmósfera arquitectónica imagen 1 de 41 de la galería de tocando ligeramente la tierra: cómo liberar el plano del suelo configura la atmósfera arquitectónica. camposanto mapfre chiclayo, monsefú / territorial. imagen © cristobal palma ✕"
3934,,neg,-0.5,pasarnos a arl es lo peor que hemos podido hacer este año. que gonorrea. pasarnos a arl es lo peor que hemos podido hacer este año. que gonorrea.
11773,,neg,-0.5,"llevan 4 días en falta de respuesta y soluciones a estás fallas, miles de personas esperando sus trámites. por parte de no hubo divulgación de estos cambios. que irresponsables!!! llevan 4 días en falta de respuesta y soluciones a estás fallas, miles de personas esperando sus trámites. por parte de no hubo divulgación de estos cambios. que irresponsables!!!"
1087,,neg,-0.5,"pilas cuchos mayores de 50, hablen con su médico personal, la vacuna💉del herpes zóster shingrix, culebrilla, es importante, son 2 dosis. gracias pilas cuchos mayores de 50, hablen con su médico personal, la vacuna💉del herpes zóster shingrix, culebrilla, es importante, son 2 dosis. gracias"
6758,,neg,-0.437,"la democracia con imaginación ...apoyo del grupo sura. en su prolongada historia, una de sus reinvenciones más significativas fue la experimentada en su tránsito a la modernidad, después de siglos de apagamiento. la democracia de los..."
11758,seguros bolivar,neg,-0.403,"seguros bolívar y generali crearon una alianza para generar un trato de reasegurador seguros bolívar y generali crearon una alianza para generar un trato de reasegurador. el acuerdo será gestionado por generali global corporate & commercial, la unidad de negocio del grupo generali de seguros a empresas medianas y grandes. este acuerdo de..."
6427,mapfre,neg,-0.403,"un estudio revela las fallas en el diseño y la construcción de hidroituango ...certificando quien habla por las reaseguradoras"". precisó que mapfre es la compañía de seguros que tiene la cobertura global por 2.500 millones de dólares y que tiene unos reaseguradores. ""suramericana la reasegura en un 13 % y el pool de empresas..."
4224,,neg,-0.38800000000000007,estoy muy molesto con por la falsa publicidad que me hace en su plataforma porque yo tengo cuenta con ellos. el soat me lo ofreció con una valor ínteresante pero me descuenta un valor superior y no me ha contestado aún para que me estoy muy molesto con por la falsa publicidad que me hace en su plataforma porque yo tengo cuenta con ellos. el soat me lo ofreció con una valor ínteresante pero me descuenta un valor superior y no me ha contestado aún para que me
5471,,neg,-0.375,"empresas de pereira invertirán $15 mil millones en planta de tratamiento de anserma la patria | manizales la concesión autopistas del café y tres empresas de pereira (partes y complementos plásticos, la importadora de llantas reencafé y el grupo sura regional risaralda) invertirán un total de $15 mil millones en anserma (caldas). el..."
12443,,neg,-0.375,"y respóndaaaan a los usuarios que estafando haciendo un descuento sin autorización a través de una plataforma ""servicios bolivar"" por valor de $26.009. estafadores y respóndaaaan a los usuarios que estafando haciendo un descuento sin autorización a través de una plataforma ""servicios bolivar"" por valor de $26.009. estafadores"
2116,,neg,-0.375,"¡cinco tips para emprender! ..., la fundación bavaria, el grupo sura y el failure institute, en el que participaron 324 emprendedores, encontrando las causas de cierre más comunes de las startups, para cada una de las cuales les tengo un tip. el primer motivo es el factor financiero, la..."
11689,,neg,-0.375,la mediocridad por delante los de hacen un cambio de plataforma tecnologica y no miden el impacto para sus afiliados 😡😡😡😡😡 la plata primero? 💸💸💸 señor ministro de es hora de remover a eso triple mediocres directivos la mediocridad por delante los de hacen un cambio de plataforma tecnologica y no miden el impacto para sus afiliados 😡😡😡😡😡 la plata primero? 💸💸💸 señor ministro de es hora de remover a eso triple mediocres directivos
5095,,neg,-0.37000000000000005,yo llevaba mi perro a mi vete veterinaria ubicada en la calle 134d # 45-29 después de varias ocasiones de verlo llevado allá a guardería y baño asignado por axa colpatria seguro que pago por el perro me lo entregaron con una lesión en la pierna y nunca respondieron yo llevaba mi perro a mi vete veterinaria ubicada en la calle 134d # 45-29 después de varias ocasiones de verlo llevado allá a guardería y baño asignado por axa colpatria seguro que pago por el perro me lo entregaron con una lesión en la pierna y nunca respondieron
11864,,neg,-0.313,"estoy igual, no se puede descargar certificado ni conseguir comunicación estoy igual, no se puede descargar certificado ni conseguir comunicación"
9496,,neg,-0.29700000000000004,"descubra al irreverente artista luciano jaramillo en este libro de lujo ...luciano jaramillo: pintura y dibujo , que acaban de lanzar el banco davivienda y seguros bolívar. y es que para esta publicación especial, en la que se recorre la obra de este artista que nació en 1938 y falleció en 1985, el equipo encargado hizo un..."
9418,liberty seguros,neg,-0.285,"inicie el año evitando fraudes al adquirir seguros y pólizas ...prima, sino que suelen enterarse de que están desprotegidos al momento de tener un siniestro, que es cuando más necesitan tener ese respaldo"", señala césar rodríguez, country manager de liberty seguros colombia. a la hora de contratar un seguro, liberty..."
11202,,neg,-0.25,"la fundación santa fe de bogotá les informó a los profesores afiliados al magisterio que, a partir del próximo 31 de julio, ya no les prestará servicios médicos a los maestros por cuenta de la finalización de los contratos con la fiduprevisora. ""lamentamos informarles que, a partir del 31 de julio, se termina el contrato con fiduciaria la previsora, por lo que no es posible continuar con la atención a los afiliados al magisterio"", se lee en la misiva. la fundación santa fe de bogotá les informó a los profesores afiliados al magisterio que, a partir del próximo 31 de julio, ya no les prestará servicios médicos a los maestros por cuenta de la finalización de los contratos con la fiduprevisora. ""lamentamos informarles que, a partir del 31 de julio, se termina el contrato con fiduciaria la..."
11790,,neg,-0.25,señores ustedes porque niegan la carta de reciprocidad que solicite para me hiciera los arreglos pese a ustedes tener un convenio señores ustedes porque niegan la carta de reciprocidad que solicite para me hiciera los arreglos pese a ustedes tener un convenio
