id,brand_primary,lex_label,lex_score,text_clean_base
7569,,pos,0.5,"procuraduría abre indagación en ungrd por nuevo caso de presuntas fallas en contratos ...emergencia presentada a finales de dicho año en varias regiones del país. en concreto, el órgano de control dirigido por margarita cabello blanco buscará documentar si hubo falencias en los bilaterales suscritos por medio de la previsora s.a..a..a..a..a..a.. a., ""con cargo al..."
8298,,pos,0.5,y firman convenio para apoyar municipios vulnerables. la alianza se llevará a cabo con usaid y tiene en miras estabilizar y transformar los territorios más afectados por la violencia y la pobreza.⬇️ y firman convenio para apoyar municipios vulnerables. la alianza se llevará a cabo con usaid y tiene en miras estabilizar y transformar los territorios más afectados por la violencia y la pobreza.⬇️
14750,mapfre,pos,0.5,cómo me vas a decir tú a mí que aprenda blockchain si tengo años trabajando en le área de la actividad aseguradora como analista de riesgo con compañías como mapfre y liberty mutual. esos sistemas operativos seguros es nuestro pan de cada día! cómo me vas a decir tú a mí que aprenda blockchain si tengo años trabajando en le área de la actividad aseguradora como analista de riesgo con compañías como mapfre y liberty mutual. esos sistemas operativos seguros es nuestro pan de cada día!
5830,,pos,0.49500000000000016,"me paso lo mismo con mi daviplata, me descontaron un dinero y nunca lo devolvieron con el cuento de un seguro que nunca tome , ni solicite y para variar ninguna de esas entidades me respondieron, la plática se perdió me paso lo mismo con mi daviplata, me descontaron un dinero y nunca lo devolvieron con el cuento de un seguro que nunca tome , ni solicite y para variar ninguna de esas entidades me respondieron, la plática se perdió"
11456,seguros bolivar,pos,0.458,"colombia conversa en clave laboral ...reunirá a empresarios, abogados laboralistas, líderes de talento humano y expertos en políticas públicas para analizar a fondo las reformas que están redefiniendo las relaciones de trabajo en el país. davivienda y seguros bolívar lideran encuentro con..."
3243,mapfre,pos,0.375,"banco contactar lanza microseguros voluntarios inclusivos para pequeños empresarios en colombia ...""para banco contactar es muy importante atender de manera integral a nuestros clientes y, por eso, complementamos nuestros servicios con microseguros voluntarios inclusivos, junto a aliados estratégicos como buk seguros y mapfre que les permitirá a los..."
2274,,pos,0.344,"por programas de economía circular y empleo incluyente, pavco wavin recibe reconocimiento xposible 2024 ...alimentos colombia, procafecol, monet colombia, colgas, nebulon, pleia, compañía de seguros bolívar, davivienda y alquería fueron algunas de las empresas que también hicieron parte de la competencia. esto, sin duda, es una recompensa al compromiso de pavco wavin..."
3302,,pos,0.3315,"el truco poco conocido sobre cómo asegurar las maletas para que no las abran en los aeropuertos ...esfuerzo. es clave adoptar medidas que permitan proteger el equipaje. | foto: getty images la compañía de seguros mapfre, en su página web, brinda algunas recomendaciones para tener en cuenta a la hora de proteger la maleta. ¿cómo proteger la maleta?es..."
9956,hdi seguros,pos,0.255,"así puede recibir un bono de hasta 150 mil pesos en gasolina comprando el seguro de auto con la agencia de seguros falabella la agencia de seguros falabella intermedia la venta de seguros en alianza con axa colpatria, liberty, equidad seguros, hdi seguros y sbs seguros. | foto: istock vehículos así puede recibir un bono de hasta 150 mil pesos en gasolina comprando el seguro de..."
8935,sura,pos,0.25,"todo sobre el soat ocruz dijo: a mi hermano le tocó por la página de rappi cobran como $40 mil de más, no encontramos otra opción. la página de sura pasó igual a lo que describe con mundial y r5. yo lo compré en julio del año pasado en la previsora:"
